sid,near_site,city_name,level,color
S7515,"日藥本舖 (西門門市)",台北,"第 2 層",#0066cc
S0124,台北當代藝術館,台北,"第 2 層",#0066cc
S7510,"希望廣場 農民市集",台北,"第 2 層",#0066cc
S0257,廣州街觀光夜市,台北,"第 2 層",#0066cc
S0127,霞海城隍廟,台北,"第 2 層",#0066cc
S5750,新月廣場,宜蘭,"第 2 層",#0066cc
S0357,臺北世界貿易中心一館,台北,"第 2 層",#0066cc
S7394,"新光三越 (台北南西店)",台北,"第 2 層",#0066cc
S7428,東門站,台北,"第 2 層",#0066cc
S0128,台北地下街,台北,"第 2 層",#0066cc
H15143,路境行旅,台北,"第 2 層",#0066cc
R0955,"無老鍋 中山店",台北,"第 2 層",#0066cc
S0188,台北車站,台北,"第 2 層",#0066cc
H00071,台北西門町意舍,台北,"第 2 層",#0066cc
S0221,二二八和平紀念公園,台北,"第 2 層",#0066cc
R1425,問鼎麻辣鍋,台北,"第 2 層",#0066cc
S7308,寧夏路夜市,台北,"第 2 層",#0066cc
R0143,便所欢乐主题餐厅台北西門町店,台北,"第 2 層",#0066cc
S0176,國父紀念館,台北,"第 2 層",#0066cc
H00345,三隻老虎青年旅舍,台北,"第 2 層",#0066cc
S0297,國立台灣博物館,台北,"第 2 層",#0066cc
R0169,"永和豆漿 - 西門町",台北,"第 2 層",#0066cc
S0455,二二八紀念館,台北,"第 2 層",#0066cc
R0682,"田季發爺燒肉 西門店",台北,"第 2 層",#0066cc
S0112,貓空纜車,台北,"第 2 層",#0066cc
S0262,釣蝦場,台北,"第 2 層",#0066cc
S0278,四四南村眷村文物館,台北,"第 2 層",#0066cc
S4563,台灣原住民文化園區,屏東,"第 2 層",#0066cc
S0113,台北101,台北,"第 2 層",#0066cc
R2427,"黑熊先生巧克力布朗尼 西門店",台北,"第 2 層",#0066cc
S0812,淡水(淡水風景區),新北,"第 2 層",#0066cc
S0359,國立歷史博物館,台北,"第 2 層",#0066cc
S0815,淡水漁人碼頭,新北,"第 2 層",#0066cc
H15155,"Hotel Papa Whale",台北,"第 2 層",#0066cc
S0817,十分老街,新北,"第 2 層",#0066cc
R1237,漂亮中式海鮮,台北,"第 2 層",#0066cc
S0814,九份(九份老街),新北,"第 2 層",#0066cc
R0187,程味珍台南意麵,台北,"第 2 層",#0066cc
S0100,袖珍博物館,台北,"第 2 層",#0066cc
S3672,北港朝天宮(媽祖文化大樓),雲林,"第 2 層",#0066cc
R1368,成都楊桃冰,台北,"第 2 層",#0066cc
S4175,高雄中央公園,高雄,"第 2 層",#0066cc
R0749,"頂呱呱炸雞店 西門店",台北,"第 2 層",#0066cc
H15321,詹德仁茶園民宿,嘉義縣,"第 2 層",#0066cc
R0083,正宗老天祿滷味,台北,"第 2 層",#0066cc
H00301,俞美精品飯店,台北,"第 2 層",#0066cc
S0284,公館商圈,台北,"第 2 層",#0066cc
R0122,上海老天祿滷味,台北,"第 2 層",#0066cc
R2366,東發號,台北,"第 2 層",#0066cc
S7321,樂聲影城,台北,"第 2 層",#0066cc
R0236,台鐵便當本鋪,台北,"第 2 層",#0066cc
H15090,"丹迪旅店 – 大安森林公園店 ",台北,"第 2 層",#0066cc
S7286,"建國假日花市,玉市",台北,"第 2 層",#0066cc
R0342,"Hot Star",台北,"第 2 層",#0066cc
R0171,鴨肉扁,台北,"第 2 層",#0066cc
S0818,淡水老街,新北,"第 2 層",#0066cc
S0837,深澳岬角象鼻岩,新北,"第 2 層",#0066cc
R0848,無老鍋,台北,"第 2 層",#0066cc
H00090,永安棧,台北,"第 2 層",#0066cc
S0159,貓空山,台北,"第 2 層",#0066cc
R0462,藍家割包,台北,"第 2 層",#0066cc
S0436,馬場町紀念公園,台北,"第 2 層",#0066cc
R1372,三發點心總匯,台北,"第 2 層",#0066cc
R1404,"橘村屋蛋糕 - 中平路",新北,"第 2 層",#0066cc
H00134,阿樹國際旅店,台北,"第 2 層",#0066cc
R0130,林東芳牛肉麵,台北,"第 2 層",#0066cc
S0187,北投溫泉,台北,"第 2 層",#0066cc
S0138,關渡宮,台北,"第 2 層",#0066cc
S0836,淡水河,新北,"第 2 層",#0066cc
S0151,林本源園邸,新北,"第 2 層",#0066cc
H00016,西門航棧商旅,台北,"第 2 層",#0066cc
S1310,烏來泰雅民族博物館,新北,"第 2 層",#0066cc
R0128,"Rilakkuma CafE",台北,"第 2 層",#0066cc
R5065,大埔財大腸香腸,屏東,"第 2 層",#0066cc
R2180,兔子兔子,台北,"第 2 層",#0066cc
R4216,星巴克台南高鐵門市,台南,"第 2 層",#0066cc
S0018,奠済宮,基隆,"第 2 層",#0066cc
S7450,"R28 淡水站",新北,"第 2 層",#0066cc
S7449,文化夜市,嘉義,"第 2 層",#0066cc
S0838,黃金瀑布,新北,"第 2 層",#0066cc
R2841,金閣屋日本料理,高雄,"第 2 層",#0066cc
R0217,香宮,台北,"第 2 層",#0066cc
S7330,"深澳岬角 (象鼻岩)",新北,"第 2 層",#0066cc
S0833,金瓜石十三層遺址,新北,"第 2 層",#0066cc
R1424,築間幸福鍋物(南京一店),台北,"第 2 層",#0066cc
S0822,金瓜石黃金博物園區,新北,"第 2 層",#0066cc
S1027,女王頭,新北,"第 2 層",#0066cc
R2975,魚丸伯仔,新北,"第 2 層",#0066cc
S6148,清金門鎮總兵署,金門,"第 2 層",#0066cc
S1126,龜吼漁港,新北,"第 2 層",#0066cc
S0976,雞籠山登山步道,新北,"第 2 層",#0066cc
H00036,台北美侖大飯店,台北,"第 2 層",#0066cc
R0638,樺達奶茶(鹽埕),高雄,"第 2 層",#0066cc
S0247,國立台灣科學教育館,台北,"第 2 層",#0066cc
S2774,麗寶樂園,台中,"第 2 層",#0066cc
R0374,舜德山莊休閒餐廳,新北,"第 2 層",#0066cc
R0591,深坑大樹下豆腐三吃,新北,"第 2 層",#0066cc
R3216,廟前阿家的店,新北,"第 2 層",#0066cc
R1225,"伯朗咖啡屋 站前二店",台北,"第 2 層",#0066cc
S0953,老梅綠石槽,新北,"第 2 層",#0066cc
S3002,紙箱王創意園區-中科店,台中,"第 2 層",#0066cc
S7581,五指山古道,新北,"第 2 層",#0066cc
R3219,"Trio cafe",台北,"第 2 層",#0066cc
S0110,松山慈佑宮,台北,"第 2 層",#0066cc
H02545,飛牛牧場,苗栗,"第 2 層",#0066cc
R1204,四鄉五島馬祖麵店,台北,"第 2 層",#0066cc
R0434,美福乾式熟成牛排館,台北,"第 2 層",#0066cc
S0111,忠烈祠,台北,"第 2 層",#0066cc
S2793,國立自然科學博物館,台中,"第 2 層",#0066cc
R0034,鼎泰豐(復興店),台北,"第 2 層",#0066cc
H03866,新朝代飯店,台南,"第 2 層",#0066cc
S0900,三峽老街,新北,"第 2 層",#0066cc
R0102,東石順蚵仔煎,台北,"第 2 層",#0066cc
S0171,烘爐地,新北,"第 2 層",#0066cc
R0106,月球馬告山豬肉香腸,新北,"第 2 層",#0066cc
R0177,"加爾各答 印度咖哩屋",台北,"第 2 層",#0066cc
S0253,台北自由廣場,台北,"第 2 層",#0066cc
R0179,兩喜號-西園店,台北,"第 2 層",#0066cc
S0134,剝皮寮歷史街區,台北,"第 2 層",#0066cc
S0397,濕地,台北,"第 2 層",#0066cc
H00088,老爺大酒店,台北,"第 2 層",#0066cc
S0014,潮境公園,基隆,"第 2 層",#0066cc
R0107,陸品川浙名菜,台北,"第 2 層",#0066cc
R0737,華南排骨便當專門店,台北,"第 2 層",#0066cc
S6430,天梯吊橋,南投,"第 2 層",#0066cc
H15093,慶爾喜旅館,台北,"第 2 層",#0066cc
R0200,"ACME Breakfast CLUB",台北,"第 2 層",#0066cc
S0192,天后宮,台北,"第 2 層",#0066cc
S0343,國家音樂廳,台北,"第 2 層",#0066cc
S5486,太魯閣國家公園,花蓮,"第 2 層",#0066cc
R0040,漢來海港餐廳,台北,"第 2 層",#0066cc
H02608,中欣商務精品飯店,台中,"第 2 層",#0066cc
R0504,"M One Café",台北,"第 2 層",#0066cc
S0123,台北市立美術館,台北,"第 2 層",#0066cc
H15139,"奧斯國際青年旅店 - 桃園機場站",桃園,"第 2 層",#0066cc
R2600,鍋爸涮涮鍋(新店),新北,"第 2 層",#0066cc
R0037,鼎泰豐(信義路),台北,"第 2 層",#0066cc
R1994,"路易莎咖啡 - 桂林店",台北,"第 2 層",#0066cc
R0917,"Machi Doggie Fashion & Coffee",台北,"第 2 層",#0066cc
R0208,度小月擔仔麵-永康店,台北,"第 2 層",#0066cc
S0250,行義路溫泉街,台北,"第 2 層",#0066cc
S0137,林安泰古厝,台北,"第 2 層",#0066cc
S0720,台灣高鐵,台北,"第 2 層",#0066cc
R1996,樹屋親子餐廳,新北,"第 2 層",#0066cc
R2953,大姐水煎包,台北,"第 2 層",#0066cc
S0168,BabyBoss,台北,"第 2 層",#0066cc
H15160,"Art Hotel",台北,"第 2 層",#0066cc
R1775,"Ba Fang Yun Ji Dumplings",台北,"第 2 層",#0066cc
H00267,台北日記旅店中華二館,台北,"第 2 層",#0066cc
S0195,台北植物園,台北,"第 2 層",#0066cc
S7299,"台北車站 (桃園捷運)",台北,"第 2 層",#0066cc
H15171,"天雲旅棧 台北西門",台北,"第 2 層",#0066cc
R0519,21風味館,台北,"第 2 層",#0066cc
S0107,陽明山國家公園,台北,"第 2 層",#0066cc
S0114,臺北市兒童新樂園,台北,"第 2 層",#0066cc
R2459,台南蔡虱目魚專賣店,台北,"第 2 層",#0066cc
S0102,象山自然步道,台北,"第 2 層",#0066cc
S1488,南山福德宮,新北,"第 2 層",#0066cc
R0439,馬辣頂級麻辣鴛鴦火鍋,台北,"第 2 層",#0066cc
R1826,蘇杭點心店,台北,"第 2 層",#0066cc
R4854,"Cafe Grazie 義式屋古拉爵",台北,"第 2 層",#0066cc
R1545,周家蒸餃,花蓮,"第 2 層",#0066cc
S5754,東門夜市,宜蘭,"第 2 層",#0066cc
S1159,三峽長福橋,新北,"第 2 層",#0066cc
R3286,村子口中華料理,台北,"第 2 層",#0066cc
S1373,淡水龍山寺,新北,"第 2 層",#0066cc
S0015,基隆港,基隆,"第 2 層",#0066cc
S5765,梅花湖,宜蘭,"第 2 層",#0066cc
H00275,台北摩莎精品旅店,台北,"第 2 層",#0066cc
S2591,勝興車站,苗栗,"第 2 層",#0066cc
S3196,鹿港龍山寺,彰化,"第 2 層",#0066cc
H09852,太魯閣晶英酒店,花蓮,"第 2 層",#0066cc
H15087,"新驛旅店 - 復興北路店",台北,"第 2 層",#0066cc
S7730,草屯寶島時代村,南投,"第 2 層",#0066cc
R1993,"星巴克 - 艋舺門市",台北,"第 2 層",#0066cc
S7313,快車肉乾(南門分店),台北,"第 2 層",#0066cc
R1128,怡客咖啡,台北,"第 2 層",#0066cc
S7578,Babe18,台北,"第 2 層",#0066cc
S5780,丟丟噹森林,宜蘭,"第 2 層",#0066cc
R1142,劉媽媽飯糰,台北,"第 2 層",#0066cc
S0444,西本願寺廟廣場,台北,"第 2 層",#0066cc
S0421,艋舺清水巖祖師廟,台北,"第 2 層",#0066cc
R6253,和茗甘味處,台北,"第 2 層",#0066cc
S0553,撫臺街洋樓,台北,"第 2 層",#0066cc
R0503,"STARBUCKS COFFEE 統一星巴克(35F門市)",台北,"第 2 層",#0066cc
R1891,雪王冰淇淋,基隆,"第 2 層",#0066cc
S0269,北投溫泉博物館,台北,"第 2 層",#0066cc
R3346,旺角迷你石頭火鍋(中華店),台北,"第 2 層",#0066cc
S2911,寶覺寺,台中,"第 2 層",#0066cc
S7278,五分埔(五分埔成衣批發區),台北,"第 2 層",#0066cc
S2498,17公里單車道,新竹,"第 2 層",#0066cc
S7436,永康街商圈,台北,"第 2 層",#0066cc
S6238,龜島,馬祖,"第 2 層",#0066cc
S7421,"Draft Land",台北,"第 2 層",#0066cc
S0328,大稻埕辜宅,台北,"第 2 層",#0066cc
S0164,保安宮花園,台北,"第 2 層",#0066cc
R1136,"枝仔冰城 (台北大稻埕店)",台北,"第 2 層",#0066cc
R1129,合興壹玖肆柒,台北,"第 2 層",#0066cc
R1363,龍緣,台北,"第 2 層",#0066cc
R1365,茂豐花生湯,台北,"第 2 層",#0066cc
R1144,金仙魚丸店永楽市場分店,台北,"第 2 層",#0066cc
R1040,林合發油飯粿店,台北,"第 2 層",#0066cc
R1347,青雅中餐廳,新北,"第 2 層",#0066cc
S0146,指南宮,台北,"第 2 層",#0066cc
S0109,行天宮,台北,"第 2 層",#0066cc
S0387,剝皮竂,台北,"第 2 層",#0066cc
R1946,"On Tap",台北,"第 2 層",#0066cc
S2872,中興大學,台中,"第 2 層",#0066cc
R0893,高雙管四神湯,台北,"第 2 層",#0066cc
S3220,日月潭慈恩堂,南投,"第 2 層",#0066cc
R0469,"Texas Roadhouse",台北,"第 2 層",#0066cc
R1077,梅子鰻蒲燒屋日本料理,台北,"第 2 層",#0066cc
S2931,台中市政府大樓,台中,"第 2 層",#0066cc
H12168,礁溪老爺酒店,宜蘭,"第 2 層",#0066cc
S7525,天母運動公園,台北,"第 2 層",#0066cc
S0841,桃園國際棒球場,桃園,"第 2 層",#0066cc
S0178,欣欣百貨,台北,"第 2 層",#0066cc
S0020,國立海洋科技博物館,基隆,"第 2 層",#0066cc
S0429,板橋435藝文特區,新北,"第 2 層",#0066cc
S0952,石門水庫,桃園,"第 2 層",#0066cc
S4139,草衙道,高雄,"第 2 層",#0066cc
R1139,同安樂,台北,"第 2 層",#0066cc
S0275,三創生活園區,台北,"第 2 層",#0066cc
S0374,樟樹步道,台北,"第 2 層",#0066cc
S0120,環亞機場貴賓室（桃園）,台北,"第 2 層",#0066cc
S7319,誠品R79,台北,"第 2 層",#0066cc
S0105,大龍峒保安宮,台北,"第 2 層",#0066cc
S4637,鐵花村,台東,"第 2 層",#0066cc
R0634,翰林茶館,新北,"第 2 層",#0066cc
H15103,"丰居旅店 - 台北車站館",台北,"第 2 層",#0066cc
S0497,獅子林商業大樓,台北,"第 2 層",#0066cc
R2871,蔦,台北,"第 2 層",#0066cc
S5773,羅東夜市,宜蘭,"第 2 層",#0066cc
R0343,"添好運 - HOYII北車站店",台北,"第 2 層",#0066cc
S0245,中正紀念公園,台北,"第 2 層",#0066cc
R2754,三重牛乳大王,新北,"第 2 層",#0066cc
S7270,光華商場,台北,"第 2 層",#0066cc
S0143,台北小巨蛋,台北,"第 2 層",#0066cc
R0828,"The Diner 樂子信義旗艦店 ATT 4FUN",台北,"第 2 層",#0066cc
H00166,大地酒店,台北,"第 2 層",#0066cc
S1028,八里左岸自行車道,新北,"第 2 層",#0066cc
H15149,"玫瑰精品旅館 雙城館",台北,"第 2 層",#0066cc
S0909,三井Outlet,新北,"第 2 層",#0066cc
H00049,天成文旅-華山町,台北,"第 2 層",#0066cc
S0824,淡水天元宮,新北,"第 2 層",#0066cc
R1669,康青龍人文茶飲(台北開封店),台北,"第 2 層",#0066cc
R0953,瞞著爹台北八德丼飯店,台北,"第 2 層",#0066cc
R0959,七十二牛肉麵,台北,"第 2 層",#0066cc
S7317,故宮博物院門票,台北,"第 2 層",#0066cc
R0373,屋莎鬆餅屋,台北,"第 2 層",#0066cc
S6245,鐵堡,馬祖,"第 2 層",#0066cc
H00224,正旅館,台北,"第 2 層",#0066cc
R1683,豚勝皆川,桃園,"第 2 層",#0066cc
S7281,"誠品書店 (敦南總店)",台北,"第 2 層",#0066cc
S0180,法鼓山農禪寺,台北,"第 2 層",#0066cc
H13154,旅樹民宿,宜蘭,"第 2 層",#0066cc
S7384,羅東,宜蘭,"第 2 層",#0066cc
H15150,"高絲旅館 - 西門町西寧館",台北,"第 2 層",#0066cc
S0582,善導寺,台北,"第 2 層",#0066cc
S0241,臺北市立天文科學教育館,台北,"第 2 層",#0066cc
R0213,米朗琪咖啡館（本店）,台北,"第 2 層",#0066cc
S0274,台北國際書展,台北,"第 2 層",#0066cc
S3190,鹿港老街,彰化,"第 2 層",#0066cc
S0518,華山市場,台北,"第 2 層",#0066cc
S2817,台中洲際棒球場,台中,"第 2 層",#0066cc
R0730,"無老鍋 新生店",台北,"第 2 層",#0066cc
S2798,路思義教堂,台中,"第 2 層",#0066cc
H00401,西門放假好好玩,台北,"第 2 層",#0066cc
S0041,八斗子漁港,基隆,"第 2 層",#0066cc
S0136,台北清真寺,台北,"第 2 層",#0066cc
R0084,"Cama Cafe 台北古亭店",台北,"第 2 層",#0066cc
S7293,"Breeze Xin Yi",台北,"第 2 層",#0066cc
R0379,天津蔥抓餅,台北,"第 2 層",#0066cc
S0131,奥森児童博物館,台北,"第 2 層",#0066cc
H00299,凱統大飯店,台北,"第 2 層",#0066cc
R0085,"肉老大 頂級肉品涮涮鍋 - 敦南店",台北,"第 2 層",#0066cc
R0086,"ICE MONSTER - 永康創始店",台北,"第 2 層",#0066cc
R0423,"Orchid Restaurant",台北,"第 2 層",#0066cc
R0093,福賓川湘館,台北,"第 2 層",#0066cc
R0089,娘子韓食(大安),台北,"第 2 層",#0066cc
H00169,香格里拉台北遠東國際大飯店,台北,"第 2 層",#0066cc
R0968,一代佳人海鮮碳烤店,台北,"第 2 層",#0066cc
R0974,E-2000,台北,"第 2 層",#0066cc
R0275,乾杯燒肉居酒屋,台北,"第 2 層",#0066cc
R0975,陳陽鵝肉大王,台北,"第 2 層",#0066cc
R0981,"Stayreal Cafe by Gabee",台北,"第 2 層",#0066cc
R0707,永康牛肉麵,台北,"第 2 層",#0066cc
R0790,火鍋世家台北東湖店,台北,"第 2 層",#0066cc
S7303,大安森林公園站,台北,"第 2 層",#0066cc
R0986,"阿宗麵線 士林分店",台北,"第 2 層",#0066cc
R0062,高記(永康店),台北,"第 2 層",#0066cc
S7144,鄭成功文物館,台南,"第 2 層",#0066cc
S0828,銀河洞,新北,"第 2 層",#0066cc
R0099,若葉遼寧總本店,台北,"第 2 層",#0066cc
R0987,欣葉台菜-創始店,台北,"第 2 層",#0066cc
R0951,希臘左巴,台北,"第 2 層",#0066cc
R0993,阿默咖啡蛋糕,新北,"第 2 層",#0066cc
R0511,大樹先生的家,台北,"第 2 層",#0066cc
R0097,明月湯包,台北,"第 2 層",#0066cc
H00231,國聯大酒店,台北,"第 2 層",#0066cc
R0527,景美鄭家碳烤,台北,"第 2 層",#0066cc
R0459,美觀園,台北,"第 2 層",#0066cc
R2397,"串燒 殿",台北,"第 2 層",#0066cc
R0010,鼎泰豐(101店),台北,"第 2 層",#0066cc
S0333,台灣國家戲劇院,台北,"第 2 層",#0066cc
S0938,石碇千島湖,新北,"第 2 層",#0066cc
R1313,衣櫥餐酒,台北,"第 2 層",#0066cc
S0147,國立臺灣師範大學,台北,"第 2 層",#0066cc
S2176,永安漁港,桃園,"第 2 層",#0066cc
S7409,師大夜市,台北,"第 2 層",#0066cc
R0077,貳樓餐廳(敦南店),台北,"第 2 層",#0066cc
S7517,"掌門精釀啤酒 (台北永康店)",台北,"第 2 層",#0066cc
S0903,三貂角燈塔,新北,"第 2 層",#0066cc
R4468,吉豚屋かつや(京站店),台北,"第 2 層",#0066cc
R0980,思慕昔本館,台北,"第 2 層",#0066cc
R5717,日暮里涮涮鍋,台北,"第 2 層",#0066cc
H09871,理想大地渡假飯店,花蓮,"第 2 層",#0066cc
S5235,月光小棧,台東,"第 2 層",#0066cc
S0251,纜車貓空站,台北,"第 2 層",#0066cc
S0265,七星山步道,台北,"第 2 層",#0066cc
S0525,萬慶巖清水祖師廟,台北,"第 2 層",#0066cc
R1118,原素食府,新北,"第 2 層",#0066cc
R1783,CoCo壹番屋,台北,"第 2 層",#0066cc
S5774,礁溪溫泉公園,宜蘭,"第 2 層",#0066cc
R1672,nico冠軍燒肉,台北,"第 2 層",#0066cc
S5758,太平山國家森林遊樂區,宜蘭,"第 2 層",#0066cc
R0235,"奕順軒 - 礁溪店",宜蘭,"第 2 層",#0066cc
S5740,蘭陽博物館,宜蘭,"第 2 層",#0066cc
S5738,宜蘭火車站幾米廣場,宜蘭,"第 2 層",#0066cc
S5734,五峰旗瀑布,宜蘭,"第 2 層",#0066cc
S7363,六福村主題遊樂園,新竹縣,"第 2 層",#0066cc
S2856,台灣氣球博物館,台中,"第 2 層",#0066cc
R2529,"雲南擺夷小吃 ",台北,"第 2 層",#0066cc
S7616,"奕順軒 - 宜蘭店",宜蘭,"第 2 層",#0066cc
R3538,台南牛肉清湯,苗栗,"第 2 層",#0066cc
R3862,瓦城泰國料理-苗栗頭份店,苗栗,"第 2 層",#0066cc
S2505,東門城,新竹,"第 2 層",#0066cc
S2593,尚順育樂世界,苗栗,"第 2 層",#0066cc
R5937,家適咖啡,馬祖,"第 2 層",#0066cc
R5907,桃群餐廳,桃園,"第 2 層",#0066cc
H15126,"樂逸文旅- 棒球館",高雄,"第 2 層",#0066cc
S0021,中正公園,基隆,"第 2 層",#0066cc
S4967,關山福德宮,屏東,"第 2 層",#0066cc
S2103,小人國主題樂園,桃園,"第 2 層",#0066cc
H12165,晶泉丰旅,宜蘭,"第 2 層",#0066cc
S5493,鯉魚潭,花蓮,"第 2 層",#0066cc
S7374,"Taman Sumber Air Panas Tangweigou Jiaosi",宜蘭,"第 2 層",#0066cc
H03596,華安大飯店,雲林,"第 2 層",#0066cc
S5766,南方澳漁港,宜蘭,"第 2 層",#0066cc
R0733,伯朗頭城城堡咖啡一館,宜蘭,"第 2 層",#0066cc
S0941,八德埤塘自然生態公園,桃園,"第 2 層",#0066cc
S0984,十份瀑布,新北,"第 2 層",#0066cc
R0595,"Lady M Taiwan",台北,"第 2 層",#0066cc
